Profiling Summary
Name: keyword_spotting
NPU Toolkit Version: 0.3.0
Platform: simulator
Accelerator: mvpv1
Accelerator Variant: None
Input Shape: 1x98x1x104
Input Data Type: int8
Output Shape: 1x9
Output Data Type: int8
Runtime buffer size (bytes): 42.2k
Flash (bytes): 175.2k
SRAM (bytes): 42.2k
Operation Count: 4.9M
Multiply-Accumulate Count: 2.4M
Layer Count: 56.0
Unsupported Layer Count: 0
Accelerator Cycle Count: 1.6M
MAC/cycle: 1.5
Prepare Temp Memory Size: 36.5k

Layer Summary
.-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Layer Index |      OpCode       | # Ops  | # MACs | # Acc Cycles |          Inputs          |  Outputs  |                              Options                              |
|-------------|-------------------|--------|--------|--------------|--------------------------|-----------|-------------------------------------------------------------------|
| 0           | conv_2d           | 1.5M   | 733.8k | 379.0k       | 1x98x1x104,24x3x1x104,24 | 1x98x1x24 | Padding:Same stride:1x1 activation:None                           |
| 1           | conv_2d           | 359.9k | 169.3k | 114.1k       | 1x98x1x24,72x1x1x24,72   | 1x98x1x72 | Padding:Valid stride:1x1 activation:Relu                          |
| 2           | depthwise_conv_2d | 74.1k  | 31.8k  | 51.8k        | 1x98x1x72,1x9x1x72,72    | 1x49x1x72 | Multiplier:1 padding:Same stride:2x2 dilation:1x1 activation:Relu |
| 3           | conv_2d           | 170.5k | 84.7k  | 48.8k        | 1x49x1x72,24x1x1x72,24   | 1x49x1x24 | Padding:Valid stride:1x1 activation:None                          |
| 4           | conv_2d           | 60.0k  | 28.2k  | 20.0k        | 1x98x1x24,24x1x1x24,24   | 1x49x1x24 | Padding:Same stride:2x2 activation:Relu                           |
| 5           | add               | 1.2k   | 0      | 2.9k         | 1x49x1x24,1x49x1x24      | 1x49x1x24 | Activation:Relu                                                   |
| 6           | conv_2d           | 179.9k | 84.7k  | 57.1k        | 1x49x1x24,72x1x1x24,72   | 1x49x1x72 | Padding:Valid stride:1x1 activation:Relu                          |
| 7           | depthwise_conv_2d | 74.1k  | 31.8k  | 50.8k        | 1x49x1x72,1x9x1x72,72    | 1x49x1x72 | Multiplier:1 padding:Same stride:1x1 dilation:1x1 activation:Relu |
| 8           | conv_2d           | 170.5k | 84.7k  | 48.8k        | 1x49x1x72,24x1x1x72,24   | 1x49x1x24 | Padding:Valid stride:1x1 activation:None                          |
